Id,Data,Produto,Categoria,Quantidade,Preço
2646,2023-01-01,Webcam,Periféricos,5,142.14
741,2023-01-01,Joystick,Periféricos,1,359.03
396,2023-01-01,Teclado,Periféricos,1,127.42
1416,2023-01-01,PRO Notebook,Laptop,1,2714.84
1502,2023-01-01,MOBA Setup,Desktop,1,2630.64
4758,2023-01-01,GAMER Setup,Desktop,1,12711.65
692,2023-01-01,GAMER Notebook,Laptop,1,6317.37
4795,2023-01-01,HOME OFFICE Setup,Desktop,1,2620.3
236,2023-01-01,MOBA Setup,Desktop,1,8796.61
4706,2023-01-01,Mouse,Periféricos,1,93.41
4447,2023-01-02,HOME OFFICE Setup,Desktop,1,2636.49
208,2023-01-02,GAMER Notebook,Laptop,2,10385.14
3609,2023-01-02,PRO Notebook,Laptop,1,3411.2
3664,2023-01-02,MOBA Setup,Desktop,1,9914.95
1915,2023-01-02,Adaptador Wi-Fi,Periféricos,1,92.37
548,2023-01-02,MOBA Setup,Desktop,2,6463.71
1284,2023-01-02,Webcam,Periféricos,1,163.41
3377,2023-01-03,Teclado,Periféricos,5,681.37
4226,2023-01-03,Webcam,Periféricos,1,55.67
804,2023-01-03,Webcam,Periféricos,3,207.8
908,2023-01-03,Joystick,Periféricos,1,329.62
2118,2023-01-03,PRO Notebook,Laptop,1,2933.17
2185,2023-01-03,Mouse,Periféricos,1,81.1
3489,2023-01-03,Adaptador Wi-Fi,Periféricos,1,85.15
301,2023-01-03,PRO Notebook,Laptop,1,3158.73
4153,2023-01-03,GAMER Setup,Desktop,1,24137.68
2604,2023-01-03,MOBA Setup,Desktop,1,7679.16
3940,2023-01-03,MOBA Setup,Desktop,1,8336.13
3965,2023-01-03,Adaptador Wi-Fi,Periféricos,2,88.88
39,2023-01-03,Joystick,Periféricos,2,307.54
507,2023-01-04,MOBA Setup,Desktop,1,8896.88
478,2023-01-04,GAMER Notebook,Laptop,1,8908.59
3430,2023-01-04,GAMER Setup,Desktop,1,11857.71
561,2023-01-04,MOBA Setup,Desktop,1,9609.35
4026,2023-01-04,GAMER Setup,Desktop,1,18338.92
1695,2023-01-04,PRO Notebook,Laptop,1,3218.53
4806,2023-01-04,GAMER Setup,Desktop,1,14939.88
4537,2023-01-04,BASIC Notebook,Laptop,1,2151.05
4841,2023-01-04,BASIC Notebook,Laptop,1,2233.21
2196,2023-01-04,Adaptador Wi-Fi,Periféricos,1,96.96
3118,2023-01-04,Joystick,Periféricos,1,357.59
1656,2023-01-04,Adaptador Wi-Fi,Periféricos,1,92.13
1126,2023-01-04,Joystick,Periféricos,4,457.72
3949,2023-01-04,Headset,Periféricos,1,416.2
4805,2023-01-04,GAMER Notebook,Laptop,1,8874.53
191,2023-01-05,Adaptador Wi-Fi,Periféricos,1,85.55
3501,2023-01-05,BASIC Notebook,Laptop,1,2200.99
4353,2023-01-05,Teclado,Periféricos,1,318.98
1059,2023-01-05,Webcam,Periféricos,1,249.02
3969,2023-01-05,Webcam,Periféricos,1,268.63
4916,2023-01-05,PRO Notebook,Laptop,1,3327.96
1216,2023-01-05,MOBA Setup,Desktop,1,2174.4
4181,2023-01-05,Headset,Periféricos,1,111.97
1453,2023-01-06,Joystick,Periféricos,1,393.13
1564,2023-01-06,Joystick,Periféricos,1,418.04
4937,2023-01-06,GAMER Notebook,Laptop,1,6470.43
3460,2023-01-06,MOBA Setup,Desktop,1,9527.93
1199,2023-01-06,BASIC Notebook,Laptop,1,1908.79
1790,2023-01-06,MOBA Setup,Desktop,1,3833.66
379,2023-01-06,GAMER Setup,Desktop,1,10502.55
3833,2023-01-06,PRO Notebook,Laptop,1,2724.58
1929,2023-01-06,BASIC Notebook,Laptop,1,2114.57
1936,2023-01-07,Joystick,Periféricos,1,379.63
3964,2023-01-07,GAMER Notebook,Laptop,1,11417.83
3976,2023-01-07,MOBA Setup,Desktop,1,2124.24
3885,2023-01-07,Joystick,Periféricos,1,358.56
4067,2023-01-07,Mouse,Periféricos,1,99.28
3203,2023-01-07,Teclado,Periféricos,1,245.18
3696,2023-01-07,Headset,Periféricos,1,241.73
3970,2023-01-07,HOME OFFICE Setup,Desktop,1,2119.4
2675,2023-01-07,GAMER Notebook,Laptop,1,7924.43
4751,2023-01-07,MOBA Setup,Desktop,1,3287.07
4934,2023-01-07,PRO Notebook,Laptop,1,3927.15
2637,2023-01-07,MOBA Setup,Desktop,1,5078.25
1144,2023-01-07,MOBA Setup,Desktop,1,5626.97
240,2023-01-08,Adaptador Wi-Fi,Periféricos,1,90.43
901,2023-01-08,Adaptador Wi-Fi,Periféricos,1,80.97
2665,2023-01-08,PRO Notebook,Laptop,1,3235.38
2449,2023-01-08,MOBA Setup,Desktop,1,9091.27
978,2023-01-08,GAMER Setup,Desktop,1,24331.33
2607,2023-01-08,Adaptador Wi-Fi,Periféricos,2,84.53
2218,2023-01-08,GAMER Notebook,Laptop,1,10474.4
994,2023-01-08,GAMER Notebook,Laptop,1,9105.44
3248,2023-01-08,Headset,Periféricos,5,138.49
4409,2023-01-09,Adaptador Wi-Fi,Periféricos,1,94.53
2234,2023-01-09,PRO Notebook,Laptop,1,3101.22
1690,2023-01-09,Joystick,Periféricos,1,364.52
1362,2023-01-09,GAMER Setup,Desktop,1,9176.85
295,2023-01-09,Headset,Periféricos,1,404.52
3605,2023-01-09,Mouse,Periféricos,1,43.39
1890,2023-01-09,Teclado,Periféricos,1,36.41
3666,2023-01-09,GAMER Setup,Desktop,1,15282.96
647,2023-01-10,PRO Notebook,Laptop,1,3923.24
781,2023-01-10,Teclado,Periféricos,1,348.86
3097,2023-01-10,Teclado,Periféricos,1,586.93
611,2023-01-10,MOBA Setup,Desktop,1,4758.42
1021,2023-01-10,Webcam,Periféricos,1,186.21
4376,2023-01-10,MOBA Setup,Desktop,1,5550.47
1809,2023-01-10,PRO Notebook,Laptop,1,3048.89
3,2023-01-10,BASIC Notebook,Laptop,1,2273.69
1927,2023-01-11,HOME OFFICE Setup,Desktop,1,2801.49
945,2023-01-11,HOME OFFICE Setup,Desktop,1,1842.21
4279,2023-01-11,Adaptador Wi-Fi,Periféricos,3,99.2
951,2023-01-11,BASIC Notebook,Laptop,1,2317.76
4886,2023-01-11,GAMER Setup,Desktop,1,11666.87
25,2023-01-11,GAMER Notebook,Laptop,1,5369.11
665,2023-01-11,Teclado,Periféricos,1,208.47
1354,2023-01-11,MOBA Setup,Desktop,1,9307.46
2102,2023-01-11,GAMER Notebook,Laptop,1,5082.45
2910,2023-01-11,HOME OFFICE Setup,Desktop,1,1722.25
4170,2023-01-11,GAMER Setup,Desktop,1,29171.98
2580,2023-01-11,MOBA Setup,Desktop,1,6653.24
3217,2023-01-11,Mouse,Periféricos,4,154.99
2569,2023-01-11,Teclado,Periféricos,1,228.57
2847,2023-01-11,MOBA Setup,Desktop,1,4274.25
3020,2023-01-12,HOME OFFICE Setup,Desktop,1,2376.46
1619,2023-01-12,GAMER Notebook,Laptop,1,4364.13
2109,2023-01-12,Adaptador Wi-Fi,Periféricos,1,88.99
2129,2023-01-12,Mouse,Periféricos,1,134.12
4115,2023-01-12,Webcam,Periféricos,1,165.5
3006,2023-01-12,GAMER Notebook,Laptop,1,9717.18
4558,2023-01-12,GAMER Setup,Desktop,1,14234.77
1444,2023-01-12,Adaptador Wi-Fi,Periféricos,1,82.16
930,2023-01-12,GAMER Setup,Desktop,1,18651.26
4438,2023-01-12,Mouse,Periféricos,1,35.15
1108,2023-01-12,Adaptador Wi-Fi,Periféricos,4,99.86
19,2023-01-12,Mouse,Periféricos,4,135.64
309,2023-01-13,PRO Notebook,Laptop,1,3364.37
1860,2023-01-13,PRO Notebook,Laptop,1,2702.67
1968,2023-01-13,HOME OFFICE Setup,Desktop,1,2118.51
1291,2023-01-13,Webcam,Periféricos,4,87.01
4062,2023-01-13,Headset,Periféricos,3,58.03
2810,2023-01-13,PRO Notebook,Laptop,1,3562.68
4017,2023-01-13,GAMER Notebook,Laptop,1,8371.86
1738,2023-01-13,MOBA Setup,Desktop,1,4961.7
3626,2023-01-13,MOBA Setup,Desktop,1,7077.41
3687,2023-01-13,Adaptador Wi-Fi,Periféricos,1,94.61
3243,2023-01-13,GAMER Setup,Desktop,1,5973.1
990,2023-01-13,PRO Notebook,Laptop,3,3373.37
131,2023-01-13,Adaptador Wi-Fi,Periféricos,3,84.99
4604,2023-01-13,Headset,Periféricos,1,332.97
4563,2023-01-13,Adaptador Wi-Fi,Periféricos,2,86.21
18,2023-01-13,GAMER Setup,Desktop,1,8999.5
2827,2023-01-13,GAMER Setup,Desktop,1,25569.32
3932,2023-01-14,HOME OFFICE Setup,Desktop,1,2868.9
1596,2023-01-14,Mouse,Periféricos,1,139.68
569,2023-01-14,Adaptador Wi-Fi,Periféricos,1,88.75
3702,2023-01-14,Adaptador Wi-Fi,Periféricos,1,94.9
2817,2023-01-14,PRO Notebook,Laptop,1,2953.76
2473,2023-01-15,GAMER Setup,Desktop,1,16071.69
3417,2023-01-15,BASIC Notebook,Laptop,2,2255.63
2329,2023-01-15,Headset,Periféricos,3,344.45
3407,2023-01-15,GAMER Notebook,Laptop,1,9802.76
2712,2023-01-15,GAMER Setup,Desktop,1,18038.64
2591,2023-01-15,MOBA Setup,Desktop,1,6275.36
672,2023-01-15,Teclado,Periféricos,1,778.59
3429,2023-01-15,MOBA Setup,Desktop,1,8638.0
1550,2023-01-15,GAMER Setup,Desktop,1,16489.62
1830,2023-01-15,GAMER Notebook,Laptop,1,5591.66
1404,2023-01-15,GAMER Setup,Desktop,1,6321.8
2729,2023-01-15,Teclado,Periféricos,1,173.73
4322,2023-01-15,HOME OFFICE Setup,Desktop,1,2877.1
1049,2023-01-16,Headset,Periféricos,1,64.71
1347,2023-01-16,MOBA Setup,Desktop,1,4702.93
2373,2023-01-16,MOBA Setup,Desktop,1,8729.45
988,2023-01-16,BASIC Notebook,Laptop,1,2300.67
1368,2023-01-16,MOBA Setup,Desktop,1,8701.23
3815,2023-01-16,GAMER Setup,Desktop,1,17941.53
632,2023-01-16,MOBA Setup,Desktop,1,2640.55
584,2023-01-16,Webcam,Periféricos,1,71.09
3166,2023-01-16,HOME OFFICE Setup,Desktop,1,2692.75
3168,2023-01-16,GAMER Notebook,Laptop,1,10263.43
450,2023-01-16,MOBA Setup,Desktop,1,9194.13
3003,2023-01-16,BASIC Notebook,Laptop,1,2114.12
1734,2023-01-16,GAMER Setup,Desktop,1,15012.6
2349,2023-01-16,PRO Notebook,Laptop,1,2886.0
4940,2023-01-16,PRO Notebook,Laptop,1,3243.68
1535,2023-01-17,GAMER Notebook,Laptop,1,8849.29
2789,2023-01-17,Joystick,Periféricos,1,365.9
2719,2023-01-17,GAMER Setup,Desktop,1,17850.7
4589,2023-01-17,PRO Notebook,Laptop,1,3283.72
3333,2023-01-17,Adaptador Wi-Fi,Periféricos,1,96.23
61,2023-01-17,BASIC Notebook,Laptop,1,1985.54
577,2023-01-17,MOBA Setup,Desktop,1,8535.13
2669,2023-01-17,Webcam,Periféricos,1,153.53
1958,2023-01-17,GAMER Notebook,Laptop,1,11580.03
4042,2023-01-17,GAMER Notebook,Laptop,1,6818.03
2216,2023-01-17,PRO Notebook,Laptop,3,3424.47
2494,2023-01-17,BASIC Notebook,Laptop,1,2129.11
782,2023-01-18,Mouse,Periféricos,2,199.46
3130,2023-01-18,Joystick,Periféricos,1,396.98
1620,2023-01-18,Headset,Periféricos,1,467.62
3879,2023-01-18,GAMER Notebook,Laptop,1,9211.16
4405,2023-01-18,BASIC Notebook,Laptop,1,2365.62
689,2023-01-18,GAMER Notebook,Laptop,1,6117.25
81,2023-01-18,Teclado,Periféricos,1,173.48
1204,2023-01-18,PRO Notebook,Laptop,1,3739.58
2691,2023-01-18,Headset,Periféricos,1,126.4
3711,2023-01-18,PRO Notebook,Laptop,1,2815.05
3008,2023-01-18,BASIC Notebook,Laptop,1,2045.24
1829,2023-01-18,MOBA Setup,Desktop,1,4808.72
2715,2023-01-18,BASIC Notebook,Laptop,1,2416.63
4342,2023-01-18,Joystick,Periféricos,1,207.6
4745,2023-01-18,GAMER Setup,Desktop,1,25353.15
3167,2023-01-18,GAMER Notebook,Laptop,1,4810.22
547,2023-01-18,GAMER Notebook,Laptop,1,6677.19
2180,2023-01-18,GAMER Setup,Desktop,1,26303.31
3614,2023-01-18,HOME OFFICE Setup,Desktop,1,2388.47
4052,2023-01-19,BASIC Notebook,Laptop,1,1872.04
2737,2023-01-19,Headset,Periféricos,1,320.72
3106,2023-01-19,Adaptador Wi-Fi,Periféricos,1,83.47
3708,2023-01-19,Headset,Periféricos,3,212.26
3758,2023-01-19,Headset,Periféricos,1,170.96
2623,2023-01-19,Mouse,Periféricos,1,165.72
4744,2023-01-19,MOBA Setup,Desktop,1,4279.71
3938,2023-01-19,PRO Notebook,Laptop,1,2521.28
172,2023-01-19,PRO Notebook,Laptop,1,2640.08
424,2023-01-20,Headset,Periféricos,1,94.71
2067,2023-01-20,HOME OFFICE Setup,Desktop,1,2941.79
541,2023-01-20,BASIC Notebook,Laptop,1,1827.4
959,2023-01-20,HOME OFFICE Setup,Desktop,1,1518.51
3228,2023-01-20,GAMER Setup,Desktop,1,28849.55
819,2023-01-20,Adaptador Wi-Fi,Periféricos,1,91.66
3107,2023-01-20,GAMER Notebook,Laptop,1,9626.4
2153,2023-01-20,MOBA Setup,Desktop,1,9069.31
1224,2023-01-20,Teclado,Periféricos,1,238.11
3360,2023-01-20,BASIC Notebook,Laptop,1,2032.43
1891,2023-01-20,Headset,Periféricos,1,239.11
3132,2023-01-20,Adaptador Wi-Fi,Periféricos,1,93.55
1701,2023-01-20,MOBA Setup,Desktop,1,6133.13
3071,2023-01-20,BASIC Notebook,Laptop,1,2008.62
375,2023-01-20,GAMER Setup,Desktop,1,4244.33
